"Country or Area","Year","Value","Value Footnotes"
"United States","2013","12988.2559631096",""
"United States","2012","12954.543203544",""
"United States","2011","13240.4758561013",""
"United States","2010","13394.0230064657",""
"United States","2009","12913.7114285466",""
"United States","2008","13663.4246797255",""
"United States","2007","13657.4495085431",""
"United States","2006","13583.2669593387",""
"United States","2005","13704.5770481407",""
"United States","2004","13388.5897105591",""
"United States","2003","13307.4920085002",""
"United States","2002","13296.1822993023",""
"United States","2001","13046.6141478464",""
"United States","2000","13671.0520240061",""
"United States","1999","13281.8699827982",""
"United States","1998","13154.7630268185",""
"United States","1997","12889.8322801175",""
"United States","1996","12854.2989079193",""
"United States","1995","12659.607628118",""
"United States","1994","12455.1621656545",""
"United States","1993","12261.5237824091",""
"United States","1992","12014.9582478929",""
"United States","1991","12134.1721315039",""
"United States","1990","11713.3317042099",""
"United States","1989","11531.9323066701",""
"United States","1988","11298.3325085174",""
"United States","1987","10886.8582560496",""
"United States","1986","10424.4272965398",""
"United States","1985","10414.2078983205",""
"United States","1984","10282.3746422135",""
"United States","1983","9742.00571448125",""
"United States","1982","9544.46094343532",""
"United States","1981","9976.69371497302",""
"United States","1980","9862.36549675432",""
"United States","1979","9700.69538557242",""
"United States","1978","9560.5454096188",""
"United States","1977","9337.72401799863",""
"United States","1976","8968.7756552847",""
"United States","1975","8522.39400295407",""
"United States","1974","8449.92845586241",""
"United States","1973","8573.19415409445",""
"United States","1972","8076.40926935244",""
"United States","1971","7517.30464555213",""
"United States","1970","7236.65704309151",""
"United States","1969","6904.83379959245",""
"United States","1968","6385.45932857015",""
"United States","1967","5888.34091549579",""
"United States","1966","5590.33374033374",""
"United States","1965","5234.68500229024",""
"United States","1964","4970.44645602406",""
"United States","1963","4690.48625569377",""
"United States","1962","4433.60602129325",""
"United States","1961","4182.17550124938",""
"United States","1960","4049.786628734",""

