"Country or Area","Year","Value","Value Footnotes"
"World","2013","3104.38222422556",""
"World","2012","3047.21303303692",""
"World","2011","3021.38000919668",""
"World","2010","2956.76193220645",""
"World","2009","2798.26825816761",""
"World","2008","2843.31603439618",""
"World","2007","2816.33464557074",""
"World","2006","2724.63471707593",""
"World","2005","2651.29981040799",""
"World","2004","2572.73361574187",""
"World","2003","2491.37853587209",""
"World","2002","2428.2475578815",""
"World","2001","2373.99670004963",""
"World","2000","2377.80762309474",""
"World","1999","2308.15289748711",""
"World","1998","2276.43745162566",""
"World","1997","2255.60972051725",""
"World","1996","2232.95996321055",""
"World","1995","2194.94980070309",""
"World","1994","2155.22899507061",""
"World","1993","2134.41387636568",""
"World","1992","2127.68128194575",""
"World","1991","2146.70840001423",""
"World","1990","2120.42776243575",""
"World","1989","1897.94709842923",""
"World","1988","1860.52541223857",""
"World","1987","1804.35803268831",""
"World","1986","1743.96134967668",""
"World","1985","1719.8535208505",""
"World","1984","1679.04114315513",""
"World","1983","1608.84898268835",""
"World","1982","1571.43291571813",""
"World","1981","1596.70346455828",""
"World","1980","1587.22615832218",""
"World","1979","1570.17040845901",""
"World","1978","1525.33206369305",""
"World","1977","1473.32960710092",""
"World","1976","1426.20693367763",""
"World","1975","1355.234464438",""
"World","1974","1346.3410021229",""
"World","1973","1346.90210911493",""
"World","1972","1274.1897507283",""
"World","1971","1200.59121218261",""

